,,,,,,,,,,,,,,,,,Code,Stock,Sector,Open,Last,Prv Close,Chg,High,Low,Y-High,Y-Low,Vol,DY*,B%,Vol MA (20),RSI (14),"MACD (26, 12)",EPS*,P/E,Status
659943,AEON-C43,301,,,0.05,,-,-,0.06,0.04,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
659944,AEON-C44,301,0.03,0.03,0.03,-,0.03,0.03,0.06,0.03,200,,100,236800,36%,-0.005,,,Active,,,,,,,,,,,,,,,,,
5139,AEONCR,110,5.19,5.19,5.19,-,5.21,5.18,7.02,4.85,1701,5.54%,41,361550,53%,-0.016,72.58,7.15,Active,,,,,,,,,,,,,,,,,
5185,AFFIN,110,2.32,2.31,2.31,-,2.34,2.31,2.99,2.21,4641,,62,1222855,44%,-0.01,21.45,11.48,Active,,,,,,,,,,,,,,,,,
518523,AFFIN-C23,310,,,0.01,,-,-,0.15,0.01,0,,-,-,100%,,,,Active,,,,,,,,,,,,,,,,,
518524,AFFIN-C24,310,,,0.02,,-,-,0.04,0.02,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
518525,AFFIN-C25,310,0.075,0.075,0.075,-,0.075,0.075,0.105,0.07,214,,50,-,0%,,,,Active,,,,,,,,,,,,,,,,,
518526,AFFIN-C26,310,,,0.08,,-,-,0.08,0.08,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
5198,AFUJIYA,102,,,0.27,,-,-,0.4,0.24,0,,-,10700,51%,-0.001,-7.06,,Active,,,,,,,,,,,,,,,,,
0258,AGMO,405,0.4,0.4,0.4,-,0.41,0.395,0.575,0.325,9824,3.75%,47,495075,39%,-0.008,2.5,14.12,Active,,,,,,,,,,,,,,,,,
0309,AGRICOR,401,0.465,0.46,0.465,-0.005,0.465,0.46,0.575,0.335,15456,,99,705000,44%,-0.002,-0.4,,Active,,,,,,,,,,,,,,,,,
0299,AGX,464,0.47,0.465,0.47,-0.005,0.47,0.45,0.63,0.42,2835,1.94%,40,116850,52%,-0.005,2.94,15.98,Active,,,,,,,,,,,,,,,,,
7315,AHB,101,0.03,0.03,0.03,-,0.03,0.025,0.045,0.025,64501,,91,5924045,100%,,-0.8,,Active,,,,,,,,,,,,,,,,,
7315WC,AHB-WC,101,0.015,0.01,0.015,-0.005,0.015,0.01,0.02,0.005,4043,,-,439125,50%,,,,Active,,,,,,,,,,,,,,,,,
7090,AHEALTH,162,2.6,2.53,2.62,-0.09,2.6,2.5,2.66,1.9,6688,3.56%,35,93355,86%,0.036,10.7,23.84,Active,,,,,,,,,,,,,,,,,
0122,AIM,402,0.03,0.03,0.035,-0.005,0.03,0.03,0.095,0.015,50,,-,123780,50%,0.002,-1.68,,Active,,,,,,,,,,,,,,,,,
0122WA,AIM-WA,402,,,0.01,,-,-,0.025,0.005,0,,-,298165,50%,,,,Active,,,,,,,,,,,,,,,,,
0209,AIMFLEX,405,0.095,0.095,0.095,-,0.1,0.095,0.185,0.075,23929,,91,1647160,67%,,0.56,16.72,Active,,,,,,,,,,,,,,,,,
7219,AIZO,102,0.07,0.07,0.07,-,0.07,0.065,0.155,0.06,9656,,96,7832590,33%,,-0.39,,Active,,,,,,,,,,,,,,,,,
7219PA,AIZO-PA,102,0.02,0.02,0.02,-,0.02,0.02,0.065,0.015,900,,100,625515,100%,,,,Active,,,,,,,,,,,,,,,,,
2658,AJI,101,13.6,13.8,13.6,+0.200,13.8,13.6,15.8,12.36,4,18.14%,75,21760,56%,0.012,81.68,16.89,Active,,,,,,,,,,,,,,,,,
7609,AJIYA,102,1.13,1.13,1.15,-0.02,1.13,1.11,2.59,1.02,1140,,32,398780,12%,-0.335,18.97,12.43,Active,,,,,,,,,,,,,,,,,
5115,ALAM,161,0.175,0.17,0.175,-0.005,0.175,0.17,0.29,0.025,4197,,99,856900,50%,,2.22,1.66,"Active, Alert",,,,,,,,,,,,,,,,,
5115WB,ALAM-WB,161,0.05,0.05,0.05,-,0.05,0.05,0.075,0.04,8073,,-,475705,50%,,,,"Active, Alert",,,,,,,,,,,,,,,,,
5116,ALAQAR,150,1.28,1.27,1.28,-0.01,1.28,1.26,1.41,1.2,447,5.72%,96,80680,63%,0.008,6.94,18.3,Active,,,,,,,,,,,,,,,,,
2674,ALCOM,102,,,0.77,,-,-,0.82,0.62,0,3.90%,-,39810,33%,-0.003,-2.91,,Active,,,,,,,,,,,,,,,,,
058244,ALIBABA-C44,358,0.155,0.16,0.15,+0.010,0.16,0.15,0.32,0.05,7970,,58,1209165,49%,-0.006,,,Active,,,,,,,,,,,,,,,,,
058246,ALIBABA-C46,358,0.165,0.165,0.155,+0.010,0.165,0.155,0.36,0.045,48560,,45,2584755,46%,-0.008,,,Active,,,,,,,,,,,,,,,,,
058247,ALIBABA-C47,358,0.295,0.31,0.28,+0.030,0.31,0.285,0.515,0.095,80444,,53,2329895,53%,-0.002,,,Active,,,,,,,,,,,,,,,,,
058248,ALIBABA-C48,358,,,0.53,,-,-,1,0.2,0,,-,1539910,49%,0.014,,,Active,,,,,,,,,,,,,,,,,
058249,ALIBABA-C49,358,0.16,0.16,0.155,+0.005,0.16,0.16,0.215,0.14,4000,,63,-,0%,,,,Active,,,,,,,,,,,,,,,,,
05821F,ALIBABA-H1F,358,,,0.025,,-,-,0.08,0.015,0,,-,1305065,54%,-0.004,,,Active,,,,,,,,,,,,,,,,,
1163,ALLIANZ,110,18.2,18.04,18.1,-0.06,18.2,18,21.06,16.5,864,1.47%,35,93905,51%,-0.055,401.46,4.31,Active,,,,,,,,,,,,,,,,,
1163PA,ALLIANZ-PA,110,18.48,18.5,18.14,+0.360,18.5,18.14,22.6,16.68,236,,98,16675,56%,0.056,,,Active,,,,,,,,,,,,,,,,,
0303,ALPHA,462,0.31,0.315,0.31,+0.005,0.315,0.31,0.355,0.265,14222,3.02%,16,4354200,30%,-0.001,1.18,26.14,Active,,,,,,,,,,,,,,,,,
0079,ALRICH,405,0.015,0.02,0.015,+0.005,0.02,0.015,0.035,0.015,325,,38,396710,33%,,0.11,14.23,Active,,,,,,,,,,,,,,,,,
5269,ALSREIT,150,0.465,0.475,0.47,+0.005,0.475,0.465,0.5,0.33,912,1.47%,98,17965,50%,0.002,0.91,52.14,Active,,,,,,,,,,,,,,,,,
1015,AMBANK,110,5.75,5.79,5.75,+0.040,5.83,5.73,5.94,4.93,24889,5.22%,50,7690145,51%,0.027,60.56,9.59,Active,,,,,,,,,,,,,,,,,
101553,AMBANK-C53,310,,,0.025,,-,-,0.065,0.025,0,,-,293005,30%,,,,Active,,,,,,,,,,,,,,,,,
101554,AMBANK-C54,310,0.105,0.105,0.105,-,0.105,0.105,0.115,0.075,1760,,50,125510,69%,,,,Active,,,,,,,,,,,,,,,,,
101555,AMBANK-C55,310,0.225,0.225,0.22,+0.005,0.23,0.22,0.25,0.125,13404,,33,223765,46%,0.013,,,Active,,,,,,,,,,,,,,,,,
101556,AMBANK-C56,310,,,0.05,,-,-,0.05,0.05,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
101557,AMBANK-C57,310,0.22,0.22,0.215,+0.005,0.225,0.215,0.245,0.19,8504,,83,-,54%,,,,Active,,,,,,,,,,,,,,,,,
0744C1,AMD-C1,358,0.125,0.125,0.14,-0.015,0.125,0.125,0.16,0.04,400,,100,-,68%,,,,Active,,,,,,,,,,,,,,,,,
5293,AME,103,1.54,1.52,1.52,-,1.55,1.51,1.84,1.46,1902,3.95%,51,322895,59%,-0.002,14.41,7.94,Active,,,,,,,,,,,,,,,,,
5293WA,AME-WA,103,0.05,0.055,0.06,-0.005,0.065,0.05,0.19,0.035,2903,,45,116285,47%,-0.002,,,Active,,,,,,,,,,,,,,,,,
5307,AMEREIT,150,1.6,1.57,1.59,-0.02,1.6,1.57,1.73,1.36,1043,4.73%,83,363820,60%,0.014,9.12,17.32,Active,,,,,,,,,,,,,,,,,
5120,AMFIRST,150,0.31,0.315,0.31,+0.005,0.315,0.31,0.32,0.27,1351,7.62%,15,330165,40%,-0.001,3.59,8.77,Active,,,,,,,,,,,,,,,,,
03011,AMLEX,705,,,0.18,,-,-,0.45,0.18,0,,-,412665,42%,-0.039,,,Active,,,,,,,,,,,,,,,,,
7031,AMTEL,163,0.42,0.43,0.435,-0.005,0.43,0.42,0.575,0.315,50,,-,58810,44%,0.01,5.69,7.8,Active,,,,,,,,,,,,,,,,,
6351,AMWAY,101,4.95,4.9,4.95,-0.05,4.95,4.9,7,4.52,1342,12.24%,55,12000,47%,0.005,58.58,8.36,Active,,,,,,,,,,,,,,,,,
7083,ANALABS,102,1.78,1.78,1.81,-0.03,1.78,1.78,1.92,1.55,47,2.25%,-,7305,42%,0.006,33.88,5.25,Active,,,,,,,,,,,,,,,,,
0048,ANCOMLB,464,0.095,0.1,0.09,+0.010,0.1,0.095,0.14,0.085,7100,,9,351915,33%,,-0.21,66.94,Active,,,,,,,,,,,,,,,,,
4758,ANCOMNY,102,0.92,0.93,0.925,+0.005,0.93,0.92,1.1,0.875,10910,0.05%,62,1241900,36%,-0.002,6.09,16.95,Active,,,,,,,,,,,,,,,,,
0226,ANEKA,403,0.14,0.135,0.14,-0.005,0.14,0.135,0.18,0.125,1706,,16,518865,50%,,0.65,16.03,Active,,,,,,,,,,,,,,,,,
6556,ANNJOO,102,0.675,0.665,0.675,-0.01,0.675,0.665,0.895,0.56,593,3.76%,17,339165,47%,-0.008,-40.54,,Active,,,,,,,,,,,,,,,,,
6556WC,ANNJOO-WC,102,0.185,0.185,0.195,-0.01,0.185,0.185,0.345,0.125,142,,-,117415,47%,-0.002,,,Active,,,,,,,,,,,,,,,,,
03051,AORB,701,,,3.1,,-,-,3.42,3.1,0,,-,42655,42%,0.497,,,Active,,,,,,,,,,,,,,,,,
5568,APB,102,0.195,0.18,0.2,-0.02,0.195,0.17,0.375,0.18,2386,,21,126975,50%,-0.001,-70.73,,Active,,,,,,,,,,,,,,,,,
5088,APEX,110,,,0.91,,-,-,1.01,0.82,0,,-,138320,50%,-0.005,3.61,26.56,Active,,,,,,,,,,,,,,,,,
5015,APM,102,3.06,2.98,3.06,-0.08,3.06,2.98,3.58,2.7,257,9.40%,22,30165,42%,-0.035,43.79,5.18,Active,,,,,,,,,,,,,,,,,
6432,APOLLO,101,6.25,6.25,6.2,+0.050,6.25,6.25,7.03,5.7,6,8.00%,-,6480,17%,-0.025,50.22,12.45,Active,,,,,,,,,,,,,,,,,
0119,APPASIA,405,0.13,0.125,0.125,-,0.13,0.12,0.155,0.09,16846,,83,1019830,67%,0.006,0.24,64.19,Active,,,,,,,,,,,,,,,,,
052819,APPLE-C19,358,,,0.13,,-,-,0.13,0.095,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
7214,ARANK,102,0.46,0.46,0.46,-,0.46,0.46,0.535,0.41,179,4.89%,-,60350,50%,0.002,6.67,9.3,Active,,,,,,,,,,,,,,,,,
7181,ARBB,105,0.035,0.03,0.035,-0.005,0.035,0.03,0.04,0.025,200,,-,1379170,40%,,0.15,19.85,Active,,,,,,,,,,,,,,,,,
