"Code","Stock","Sector","Open","Last","Prv Close","Chg","High","Low","Y-High","Y-Low","Vol","DY*","B%","Vol MA (20)","RSI (14)","MACD (26, 12)","EPS*","P/E","Status"
="9431WA","SJC-WA","163","0.125","0.125","0.125","","0.125","0.125","","","22800","","-","-","","","","","Active"
="7115","SKBSHUT","102","0.995","0.985","0.995","","1.010","0.975","","","16466","","-","-","","","16.06","","Active"
="7155","SKPRES","102","0.900","0.905","0.895","","0.910","0.900","","","38713","","-","-","","","7.59","","Active"
="715528","SKPRES-C28","302","0.000","","0.025","","-","-","","","0","","-","-","","","","","Active"
="7155WB","SKPRES-WB","102","0.000","","0.005","","-","-","","","0","","-","-","","","","","Active"
="7249","SKYGATE","120","0.800","0.825","0.800","","0.830","0.800","","","2606","","-","-","","","1.84","","Active"
="5315","SKYWLD","120","0.555","0.580","0.550","","0.585","0.555","","","21164","","-","-","","","5.42","","Active"
="03008","SLIC","705","0.000","","0.600","","-","-","","","0","","-","-","","","","","Active"
="7248","SLP","102","0.830","0.830","0.830","","0.830","0.830","","","10","","-","-","","","4.43","","Active"
="0215","SLVEST","161","3.000","3.040","2.990","","3.050","2.990","","","51154","","-","-","","","7.35","","Active"
="0215CM","SLVEST-CM","361","0.000","","0.480","","-","-","","","0","","-","-","","","","","Active"
="0215CN","SLVEST-CN","361","0.395","0.405","0.395","","0.405","0.395","","","2930","","-","-","","","","","Active"
="0215CO","SLVEST-CO","361","0.000","","0.390","","-","-","","","0","","-","-","","","","","Active"
="0215CP","SLVEST-CP","361","0.385","0.400","0.385","","0.400","0.385","","","4094","","-","-","","","","","Active"
="0215CQ","SLVEST-CQ","361","0.415","0.430","0.395","","0.430","0.415","","","2350","","-","-","","","","","Active"
="0215CR","SLVEST-CR","361","0.200","0.200","0.185","","0.200","0.200","","","102","","-","-","","","","","Active"
="0215CS","SLVEST-CS","361","0.000","","0.175","","-","-","","","0","","-","-","","","","","Active"
="0215CT","SLVEST-CT","361","0.300","0.300","0.290","","0.300","0.290","","","116","","-","-","","","","","Active"
="0215CU","SLVEST-CU","361","0.150","0.150","0.150","","0.155","0.150","","","3792","","-","-","","","","","Active"
="0215CV","SLVEST-CV","361","0.360","0.375","0.355","","0.375","0.360","","","435","","-","-","","","","","Active"
="0215CW","SLVEST-CW","361","0.090","0.090","0.085","","0.090","0.090","","","80","","-","-","","","","","Active"
="0215WA","SLVEST-WA","161","1.990","2.050","1.980","","2.050","1.990","","","1646","","-","-","","","","","Active"
="0306","SMART","402","0.190","0.190","0.185","","0.190","0.190","","","50","","-","-","","","2.02","","Active"
="9776","SMCAP","101","0.115","0.125","0.105","","0.130","0.115","","","49517","","-","-","","","-3.11","","Active"
="0203","SMETRIC","405","0.115","0.115","0.110","","0.120","0.115","","","13034","","-","-","","","0.88","","Active"
="4375","SMI","120","0.000","","0.270","","-","-","","","0","","-","-","","","1.98","","Active"
="03023","SMILE","762","0.000","","0.125","","-","-","","","0","","-","-","","","","","Active"
="03023W","SMILE-WA","762","0.000","","0.005","","-","-","","","0","","-","-","","","","","Active"
="7132","SMISCOR","102","0.000","","0.695","","-","-","","","0","","-","-","","","7.38","","Active"
="0117","SMRT","405","0.735","0.735","0.735","","0.750","0.725","","","19746","","-","-","","","6.23","","Active"
="0169","SMTRACK","405","0.010","0.010","0.015","","0.010","0.010","","","14000","","-","-","","","-1.33","","Active"
="03054","SNOWFIT","701","0.000","","0.120","","-","-","","","0","","-","-","","","","","Active"
="0259","SNS","105","0.740","0.740","0.735","","0.755","0.735","","","161380","","-","-","","","1.87","","Active"
="0259CE","SNS-CE","305","0.000","","0.080","","-","-","","","0","","-","-","","","","","Active"
="0259CG","SNS-CG","305","0.000","","0.135","","-","-","","","0","","-","-","","","","","Active"
="0259CH","SNS-CH","305","0.120","0.115","0.110","","0.120","0.115","","","270","","-","-","","","","","Active"
="0259CI","SNS-CI","305","0.090","0.090","0.090","","0.090","0.090","","","150","","-","-","","","","","Active"
="0259CJ","SNS-CJ","305","0.100","0.100","0.100","","0.100","0.100","","","1320","","-","-","","","","","Active"
="0259CK","SNS-CK","305","0.105","0.105","0.110","","0.110","0.100","","","1640","","-","-","","","","","Active"
="0259CL","SNS-CL","305","0.170","0.170","0.160","","0.170","0.170","","","300","","-","-","","","","","Active"
="0259CM","SNS-CM","305","0.000","","0.075","","-","-","","","0","","-","-","","","","","Active"
="5213","SNTORIA","120","0.000","","0.005","","-","-","","","0","","-","-","","","-14.52","","Active, Alert"
="5242","SOLID","101","0.145","0.150","0.145","","0.150","0.145","","","702","","-","-","","","1.29","","Active"
="0093","SOLUTN","405","0.080","0.095","0.080","","0.095","0.080","","","5710","","-","-","","","-1.48","","Active"
="5126","SOP","125","3.360","3.400","3.330","","3.400","3.340","","","4351","","-","-","","","50.11","","Active"
="5126CU","SOP-CU","325","0.000","","0.150","","-","-","","","0","","-","-","","","","","Active"
="0326","SORENTO","401","0.375","0.375","0.375","","0.375","0.350","","","5365","","-","-","","","3.67","","Active"
="065656","SP500-C56","358","0.000","","0.260","","-","-","","","0","","-","-","","","","","Active"
="065657","SP500-H57","358","0.070","0.070","0.075","","0.070","0.065","","","4580","","-","-","","","","","Active"
="0216","SPRING","401","0.140","0.140","0.140","","0.140","0.140","","","490","","-","-","","","2.22","","Active"
="7103","SPRITZER","101","2.110","2.120","2.110","","2.150","2.100","","","4431","","-","-","","","22.31","","Active"
="7103CA","SPRITZER-CA","301","0.000","","0.145","","-","-","","","0","","-","-","","","","","Active"
="8664","SPSETIA","120","0.935","0.945","0.935","","0.950","0.930","","","341861","","-","-","","","10.16","","Active"
="86641A","SPSETIA-C1A","320","0.015","0.015","0.015","","0.015","0.010","","","36850","","-","-","","","","","Active"
="866495","SPSETIA-C95","320","0.000","","0.020","","-","-","","","0","","-","-","","","","","Active"
="866496","SPSETIA-C96","320","0.000","","0.020","","-","-","","","0","","-","-","","","","","Active"
="866497","SPSETIA-C97","320","0.020","0.020","0.020","","0.020","0.020","","","450","","-","-","","","","","Active"
="866498","SPSETIA-C98","320","0.020","0.020","0.025","","0.020","0.020","","","10000","","-","-","","","","","Active"
="866499","SPSETIA-C99","320","0.000","","0.015","","-","-","","","0","","-","-","","","","","Active"
="8664HE","SPSETIA-HE","320","0.000","","0.065","","-","-","","","0","","-","-","","","","","Active"
="8664PA","SPSETIA-PA","120","0.950","0.950","0.950","","0.950","0.950","","","14","","-","-","","","","","Active"
="8664PC","SPSETIA-PC","120","0.460","0.490","0.460","","0.490","0.450","","","589","","-","-","","","","","Active"
="1562","SPTOTO","101","1.390","1.380","1.390","","1.400","1.380","","","7891","","-","-","","","17.66","","Active"
="0129","SRIDGE","463","0.250","0.245","0.250","","0.255","0.235","","","59082","","-","-","","","1.12","","Active"
="0045","SSB8","403","0.600","0.595","0.595","","0.600","0.590","","","11085","","-","-","","","1.77","","Active"
="0287","SSF","401","0.000","","0.370","","-","-","","","0","","-","-","","","0.74","","Active"
="5665","SSTEEL","102","0.400","0.405","0.395","","0.405","0.400","","","1809","","-","-","","","-9.37","","Active"
="6084","STAR","163","0.385","0.385","0.385","","0.385","0.380","","","2270","","-","-","","","9.22","","Active"
="0080","STRAITS","464","0.075","0.080","0.075","","0.080","0.070","","","9723","","-","-","","","0.84","","Active"
="6904","SUBUR","102","0.630","0.630","0.625","","0.630","0.630","","","70","","-","-","","","1.70","","Active"
="7207","SUCCESS","102","0.650","0.645","0.640","","0.650","0.630","","","336","","-","-","","","4.50","","Active"
="0349","SUMI","402","0.120","0.120","0.120","","0.125","0.120","","","5823","","-","-","","","313.00","","Active"
="5263","SUNCON","103","6.160","6.260","6.150","","6.300","6.140","","","28579","","-","-","","","14.50","","Active"
="526329","SUNCON-C29","303","0.000","","0.120","","-","-","","","0","","-","-","","","","","Active"
="526333","SUNCON-C33","303","0.000","","0.195","","-","-","","","0","","-","-","","","","","Active"
="526334","SUNCON-C34","303","0.300","0.300","0.250","","0.300","0.300","","","1","","-","-","","","","","Active"
="526335","SUNCON-C35","303","0.395","0.400","0.375","","0.400","0.395","","","7000","","-","-","","","","","Active"
="526336","SUNCON-C36","303","0.255","0.255","0.250","","0.255","0.255","","","2500","","-","-","","","","","Active"
="526337","SUNCON-C37","303","0.335","0.335","0.325","","0.335","0.335","","","480","","-","-","","","","","Active"
="526338","SUNCON-C38","303","0.170","0.175","0.140","","0.175","0.170","","","3","","-","-","","","","","Active"
="526339","SUNCON-C39","303","0.255","0.260","0.250","","0.270","0.250","","","10865","","-","-","","","","","Active"
="526340","SUNCON-C40","303","0.000","","0.200","","-","-","","","0","","-","-","","","","","Active"
="526341","SUNCON-C41","303","0.060","0.060","0.060","","0.060","0.060","","","4111","","-","-","","","","","Active"
="526342","SUNCON-C42","303","0.130","0.130","0.165","","0.130","0.130","","","100","","-","-","","","","","Active"
="526343","SUNCON-C43","303","0.105","0.105","0.100","","0.105","0.105","","","43","","-","-","","","","","Active"
="526344","SUNCON-C44","303","0.080","0.085","0.080","","0.085","0.075","","","19198","","-","-","","","","","Active"
="526345","SUNCON-C45","303","0.120","0.125","0.120","","0.130","0.120","","","7948","","-","-","","","","","Active"
="526346","SUNCON-C46","303","0.160","0.160","0.120","","0.160","0.160","","","200","","-","-","","","","","Active"
="526347","SUNCON-C47","303","0.150","0.150","0.130","","0.150","0.150","","","50","","-","-","","","","","Active"
="526348","SUNCON-C48","303","0.205","0.210","0.205","","0.210","0.205","","","4000","","-","-","","","","","Active"
="526349","SUNCON-C49","303","0.140","0.145","0.140","","0.145","0.140","","","902","","-","-","","","","","Active"
="526350","SUNCON-C50","303","0.000","","0.245","","-","-","","","0","","-","-","","","","","Active"
="526351","SUNCON-C51","303","0.095","0.100","0.095","","0.105","0.095","","","4977","","-","-","","","","","Active"
="0345","SUNLOGY","403","0.385","0.385","0.375","","0.395","0.380","","","54919","","-","-","","","2.20","","Active"
="03050","SUNMOW","703","1.150","1.150","1.130","","1.150","1.150","","","80","","-","-","","","","","Active"
