"Code","Stock","Sector","Open","Last","Prv Close","Chg","High","Low","Y-High","Y-Low","Vol","DY*","B%","Vol MA (20)","RSI (14)","MACD (26, 12)","EPS*","P/E","Status","Mode"
="0185","HSSEB","102","0.635","0.665","0.635","+0.030","0.675","0.625","1.190","0.500","24790","","56","1670980","44%","-0.002","4.96","13.53","Active","Real Time"
="0186","PTRANS","101","0.675","0.675","0.675","-","0.680","0.660","0.805","0.660","155139","3.33%","62","8155450","100%","-0.002","6.45","11.42","Active","Real Time"
="0186WB","PTRANS-WB","101","0.170","0.180","0.170","+0.010","0.180","0.170","0.275","0.165","1020","","67","294555","50%","","","","Active","Real Time"
="0187","BCMALL","402","0.005","0.010","0.005","+0.005","0.010","0.005","0.015","0.005","191","","1","6419290","40%","","-0.44","","Active","Real Time"
="0188","HLT","402","0.030","0.030","0.030","-","0.035","0.030","0.145","0.025","1738","","1","841555","50%","-0.001","-2.69","","Active","Real Time"
="0188WB","HLT-WB","402","0.010","0.010","0.015","-0.005","0.010","0.010","0.020","0.005","235","","50","2605495","50%","","","","Active","Real Time"
="0189","MATANG","425","0.070","0.070","0.075","-0.005","0.070","0.070","0.090","0.065","3390","","-","731525","67%","","0.25","28.05","Active","Real Time"
="0190","ESAFE","402","0.110","0.120","0.120","-","0.120","0.110","0.190","0.105","205","","51","113260","44%","-0.002","-1.62","","Active","Real Time"
="0191","CABNET","405","0.325","0.335","0.325","+0.010","0.345","0.325","0.495","0.260","14787","","85","412040","74%","0.013","1.29","25.95","Active","Real Time"
="0192","INTA","103","0.420","0.425","0.415","+0.010","0.425","0.415","0.545","0.345","13781","4.71%","46","1694190","44%","-0.004","6.08","7.91","Active","Real Time"
="0192WA","INTA-WA","103","0.060","0.070","0.070","-","0.070","0.060","0.195","0.045","66","","77","672330","43%","-0.008","","","Active","Real Time"
="0193","KAB","161","0.360","0.360","0.365","-0.005","0.365","0.360","0.370","0.295","82727","","85","8001050","71%","0.006","1.08","35.82","Active","Real Time"
="0193CI","KAB-CI","361","","","0.030","","-","-","0.035","0.030","0","","-","-","0%","","","","Suspended","Real Time"
="0195","BINACOM","463","0.120","0.120","0.120","-","0.120","0.120","0.230","0.100","1580","","25","306365","50%","","0.47","34.65","Active","Real Time"
="0195WA","BINACOM-WA","463","","","0.005","","-","-","0.050","0.005","0","","-","560515","100%","-0.001","","","Active","Real Time"
="0196","QES","102","0.400","0.400","0.405","-0.005","0.405","0.395","0.620","0.340","19619","1.38%","50","1321450","60%","","2.08","19.51","Active","Real Time"
="0197","WEGMANS","101","0.110","0.110","0.110","-","0.110","0.105","0.195","0.110","625","","-","31015","44%","-0.002","1.09","9.80","Active","Real Time"
="0198","GDB","103","0.470","0.475","0.475","-","0.480","0.465","0.480","0.265","8117","1.47%","39","2294600","65%","0.019","2.85","16.66","Active","Real Time"
="0198WA","GDB-WA","103","0.040","0.045","0.040","+0.005","0.045","0.040","0.100","0.020","3952","","1","555750","56%","0.001","","","Active","Real Time"
="0199","TRIMODE","464","","","0.200","","-","-","0.380","0.165","0","1.75%","-","19620","54%","-0.001","0.99","20.26","Active","Real Time"
="0200","REVENUE","105","0.070","0.075","0.070","+0.005","0.080","0.070","0.165","0.065","29939","","77","844070","50%","","-2.22","","Active","Real Time"
="0201","NOVA","162","0.350","0.345","0.350","-0.005","0.350","0.345","0.480","0.260","786","","67","55750","54%","","2.43","14.22","Active","Real Time"
="0202","RGTECH","405","","","0.260","","-","-","0.370","0.230","0","1.92%","-","89800","50%","-0.002","1.52","17.72","Active","Real Time"
="0203","SMETRIC","405","0.110","0.110","0.115","-0.005","0.110","0.110","0.200","0.100","13114","","-","1725110","14%","-0.009","0.88","12.42","Active","Real Time"
