Code,Stock,Sector,Open,Last,Prv Close,Chg,High,Low,Y-High,Y-Low,Vol,DY*,B%,Vol MA (20),RSI (14),"MACD (26, 12)",EPS*,P/E,Status,
,MNRB-CL,MNRB-CL,,,,,,,,,,,,,,,,,,
694765,CDB-C65,CDB-C65,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,CDB-C65,CDB-C65,,,,,,,,,,,,,,,,,,
694766,CDB-C66,CDB-C66,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,CDB-C66,CDB-C66,,,,,,,,,,,,,,,,,,
694769,CDB-C69,CDB-C69,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,CDB-C69,CDB-C69,,,,,,,,,,,,,,,,,,
694770,CDB-C70,CDB-C70,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,CDB-C70,CDB-C70,,,,,,,,,,,,,,,,,,
71065F,SUPERMX-C5F,SUPERMX-C5F,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,SUPERMX-C5F,SUPERMX-C5F,,,,,,,,,,,,,,,,,,
71135I,TOPGLOV-C5I,TOPGLOV-C5I,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,TOPGLOV-C5I,TOPGLOV-C5I,,,,,,,,,,,,,,,,,,
71135K,TOPGLOV-C5K,TOPGLOV-C5K,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,TOPGLOV-C5K,TOPGLOV-C5K,,,,,,,,,,,,,,,,,,
715386,KOSSAN-C86,KOSSAN-C86,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,KOSSAN-C86,KOSSAN-C86,,,,,,,,,,,,,,,,,,
720422,D&O-C22,D&O-C22,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,D&O-C22,D&O-C22,,,,,,,,,,,,,,,,,,
72772M,DIALOG-C2M,DIALOG-C2M,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,DIALOG-C2M,DIALOG-C2M,,,,,,,,,,,,,,,,,,
72772N,DIALOG-C2N,DIALOG-C2N,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,DIALOG-C2N,DIALOG-C2N,,,,,,,,,,,,,,,,,,
820647,ECOWLD-C47,ECOWLD-C47,,,-,,-,-,,,0,,-,-,0%,,,,New,
,ECOWLD-C47,ECOWLD-C47,,,,,,,,,,,,,,,,,,
8605PB,FIHB-PB,FIHB-PB,,,0.06,,-,-,,,0,,-,33460,35%,0.005,,,Active,
,FIHB-PB,FIHB-PB,,,,,,,,,,,,,,,,,,
887775,EKOVEST-C75,EKOVEST-C75,0.04,0.04,0.15,-0.11,0.045,0.04,,,257021,,8,-,0%,,,,Active,
,EKOVEST-C75,EKOVEST-C75,,,,,,,,,,,,,,,,,,
905917,TSH-C17,TSH-C17,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,TSH-C17,TSH-C17,,,,,,,,,,,,,,,,,,
9296CH,RCECAP-CH,RCECAP-CH,0.065,0.065,0.15,-0.085,0.065,0.065,,,300,,-,-,0%,,,,Active,
,RCECAP-CH,RCECAP-CH,,,,,,,,,,,,,,,,,,
0038WA,ARTRONIQ-WA,ARTRONIQ-WA,0.005,0.005,0.01,-0.005,0.005,0.005,0.045,0.005,1100,,96,595265,67%,,,,Active,
,ARTRONIQ-WA,ARTRONIQ-WA,,,,,,,,,,,,,,,,,,
0029WC,DIGISTA-WC,DIGISTA-WC,,,0.005,,-,-,0.02,0.005,0,,-,43540,50%,-0.002,,,Active,
,DIGISTA-WC,DIGISTA-WC,,,,,,,,,,,,,,,,,,
0029WD,DIGISTA-WD,DIGISTA-WD,,,0.005,,-,-,0.025,0.005,0,,-,186990,43%,-0.001,,,Active,
,DIGISTA-WD,DIGISTA-WD,,,,,,,,,,,,,,,,,,
41,HONGSENG,HONGSENG,0.01,0.005,0.01,-0.005,0.01,0.005,0.015,0.005,679,,4,1160415,60%,,0.25,2.28,Active,
,HONGSENG,HONGSENG,,,,,,,,,,,,,,,,,,
36,KGROUP,KGROUP,0.13,0.13,0.135,-0.005,0.135,0.125,0.33,0.005,716,,68,224460,55%,,-0.4,,Active,
,KGROUP,KGROUP,,,,,,,,,,,,,,,,,,
18,LAMBO,LAMBO,,,0.005,,-,-,0.025,0.005,0,,-,5769605,25%,-0.004,0.19,2.64,"Suspended, Alert, Forbid",
,LAMBO,LAMBO,,,,,,,,,,,,,,,,,,
43,MTRONIC,MTRONIC,0.01,0.01,0.01,-,0.01,0.01,0.02,0.005,1766,,-,2021925,50%,,-0.68,,Active,
,MTRONIC,MTRONIC,,,,,,,,,,,,,,,,,,
0020WD,NETX-WD,NETX-WD,,,0.005,,-,-,0.03,0.005,0,,-,62780,50%,,,,Active,
,NETX-WD,NETX-WD,,,,,,,,,,,,,,,,,,
0022WA,PARLO-WA,PARLO-WA,,,0.005,,-,-,0.02,0.005,0,,-,68470,100%,,,,Active,
,PARLO-WA,PARLO-WA,,,,,,,,,,,,,,,,,,
0032CD,REDTONE-CD,REDTONE-CD,,,0.005,,-,-,0.02,0.005,0,,-,186355,33%,-0.003,,,Active,
,REDTONE-CD,REDTONE-CD,,,,,,,,,,,,,,,,,,
0055WB,SERSOL-WB,SERSOL-WB,,,0.015,,-,-,0.055,0.005,0,,-,95630,54%,-0.003,,,Active,
,SERSOL-WB,SERSOL-WB,,,,,,,,,,,,,,,,,,
0084WA,FAST-WA,FAST-WA,,,0.01,,-,-,0.02,0.005,0,,-,88425,50%,-0.001,,,Active,
,FAST-WA,FAST-WA,,,,,,,,,,,,,,,,,,
0085WD,MLAB-WD,MLAB-WD,0.01,0.01,0.005,+0.005,0.01,0.01,0.03,0.005,3000,,100,159420,29%,-0.003,,,Active,
,MLAB-WD,MLAB-WD,,,,,,,,,,,,,,,,,,
92,MTOUCHE,MTOUCHE,0.025,0.03,0.025,+0.005,0.03,0.02,0.065,0.005,22274,,45,11025310,36%,,-1.63,,Active,
,MTOUCHE,MTOUCHE,,,,,,,,,,,,,,,,,,
0096WD,NEXGRAM-WD,NEXGRAM-WD,,,0.005,,-,-,0.015,0.005,0,,-,95770,50%,,,,Active,
,NEXGRAM-WD,NEXGRAM-WD,,,,,,,,,,,,,,,,,,
94,ZENTECH,ZENTECH,0.005,0.01,0.01,-,0.01,0.005,0.015,0.005,417,,2,651520,50%,,-0.34,,Active,
,ZENTECH,ZENTECH,,,,,,,,,,,,,,,,,,
0074WB,GOCEAN-WB,GOCEAN-WB,,,0.005,,-,-,0.02,0.005,0,,-,264815,100%,,,,Active,
,GOCEAN-WB,GOCEAN-WB,,,,,,,,,,,,,,,,,,
0060WC,HM-WC,HM-WC,,,0.01,,-,-,0.045,0.005,0,,-,166535,50%,-0.001,,,Active,
,HM-WC,HM-WC,,,,,,,,,,,,,,,,,,
0066WC,VSOLAR-WC,VSOLAR-WC,,,0.005,,-,-,0.03,0.005,0,,-,200130,33%,-0.002,,,Active,
,VSOLAR-WC,VSOLAR-WC,,,,,,,,,,,,,,,,,,
0122WA,AIM-WA,AIM-WA,,,0.005,,-,-,0.035,0.005,0,,-,350850,50%,-0.001,,,Active,
,AIM-WA,AIM-WA,,,,,,,,,,,,,,,,,,
116,FOCUS,FOCUS,0.005,0.005,0.01,-0.005,0.01,0.005,0.03,0.005,1267496,,40,646865,50%,,-0.21,,Active,
,FOCUS,FOCUS,,,,,,,,,,,,,,,,,,
0116PA,FOCUS-PA,FOCUS-PA,,,0.005,,-,-,0.01,0.005,0,,-,406905,100%,,,,Active,
,FOCUS-PA,FOCUS-PA,,,,,,,,,,,,,,,,,,
0116WD,FOCUS-WD,FOCUS-WD,,,0.005,,-,-,0.005,0.005,0,,-,162580,100%,,,,Active,
,FOCUS-WD,FOCUS-WD,,,,,,,,,,,,,,,,,,
109,SCBUILD,SCBUILD,0.005,0.01,0.005,+0.005,0.01,0.005,0.015,0.005,793835,,96,292650,50%,,-0.19,,Active,
,SCBUILD,SCBUILD,,,,,,,,,,,,,,,,,,
118,TRIVE,TRIVE,0.01,0.01,0.01,-,0.01,0.01,0.06,0.005,11,,-,239540,50%,,-0.4,,Active,
,TRIVE,TRIVE,,,,,,,,,,,,,,,,,,
