Code,Stock,Sector,Open,Last,Prv Close,Chg,High,Low,Y-High,Y-Low,Vol,DY*,B%,Vol MA (20),RSI (14),"MACD (26,12)",EPS*,P/E,Status
"=""03002""",JAGAAPP,Utilities,,,0.050,,-,-,0.05,0.05,0,,-,158620,39%,-0.047,,,Active
"=""6874""",JAGCPTL,Industrial & Consumer Products,0.9,0.98,0.910,+0.070,0.980,0.900,1.18,0.535,14755,4.08%,77,218370,33%,-0.01,9.7,8.46,Active
"=""4723""",JAKS,Industrial & Consumer Products,0.095,0.095,0.095,-,0.100,0.090,0.13,0.08,115570,5.26%,12,3371010,37%,-0.001,2.25,6.75,Active
"=""8648""",JASKITA,Industrial & Consumer Products,0.2,0.2,0.200,-,0.200,0.200,0.445,0.165,98,17.50%,-,87480,50%,-0.013,8.8,2.27,Active
"=""7152""",JAYCORP,Industrial & Consumer Products,0.305,0.305,0.310,-0.005,0.305,0.305,0.64,0.3,30,4.92%,-,35560,56%,-0.003,0.5,,Active
"=""0058""",JCBNEXT,Industrial & Consumer Products,1.73,1.73,1.730,-,1.730,1.730,1.81,1.55,320,,-,19160,44%,-0.006,38.83,4.43,Active
"=""5161""",JCY,Industrial & Consumer Products,0.37,0.36,0.365,-0.005,0.370,0.355,0.475,0.25,32657,,41,7098930,38%,0.002,-2.95,,Active
"=""516120""",JCY-C20,Technology,0.065,0.065,0.065,-,0.065,0.065,0.14,0.015,370,,100,1657960,40%,,,,Active
"=""516121""",JCY-C21,Technology,,,0.030,,-,-,0.07,0.03,0,,-,-,0%,,,,Active
"=""516122""",JCY-C22,Technology,,,0.040,,-,-,0.06,0.035,0,,-,-,33%,,,,Active
"=""058925""",JDCOM-C25,Technology,,,0.050,,-,-,0.255,0.04,0,,-,1780400,21%,-0.04,,,Active
"=""058926""",JDCOM-C26,Technology,,,0.075,,-,-,0.155,0.065,0,,-,-,0%,,,,Active
"=""9083""",JETSON,Industrial & Consumer Products,0.12,0.11,0.110,-,0.120,0.110,0.22,0.11,10370,,71,371990,45%,-0.001,-6.56,,Active
"=""0146""",JFTECH,Industrial & Consumer Products,0.495,0.495,0.495,-,0.510,0.495,0.675,0.355,4268,0.51%,42,655425,45%,-0.005,0.38,113.25,Active
"=""0127""",JHM,Industrial & Consumer Products,0.475,0.48,0.475,+0.005,0.485,0.470,0.495,0.28,8445,,67,1733515,55%,0.01,-3.75,,Active
"=""8923""",JIANKUN,Industrial & Consumer Products,0.03,0.03,0.030,-,0.030,0.030,0.05,0.025,88,,-,564335,100%,,-7.76,,Active
"=""8923WB""",JIANKUN-WB,Industrial & Consumer Products,,,0.010,,-,-,0.015,0.005,0,,-,179070,100%,,,,Active
"=""03040""",JISHAN,Utilities,,,0.690,,-,-,0.69,0.48,0,,-,64150,67%,0.049,,,Active
"=""6769""",JKGLAND,Industrial & Consumer Products,,,0.100,,-,-,0.12,0.095,0,,-,194925,50%,,1.94,5.14,Active
"=""7096""",JOE,Industrial & Consumer Products,,,0.055,,-,-,0.095,0.04,0,,-,42680,50%,-0.001,-3.24,,Active
"=""3441""",JOHAN,Industrial & Consumer Products,0.025,0.025,0.025,-,0.025,0.025,0.045,0.02,1268,,-,66110,40%,-0.001,-0.17,31.0,Active
"=""5323""",JPG,Industrial & Consumer Products,1.52,1.52,1.510,+0.010,1.540,1.510,1.74,0.975,26883,3.45%,68,5927890,70%,-0.01,11.36,14.84,Active
"=""5323CJ""",JPG-CJ,Technology,,,0.080,,-,-,0.18,0.07,0,,-,106155,24%,-0.013,,,Active
"=""5323CK""",JPG-CK,Technology,0.08,0.08,0.075,+0.005,0.080,0.080,0.165,0.07,760,,50,452625,57%,-0.006,,,Active
"=""5323CL""",JPG-CL,Technology,0.08,0.08,0.075,+0.005,0.080,0.080,0.175,0.07,100,,50,51660,55%,-0.006,,,Active
"=""5323CM""",JPG-CM,Technology,,,0.055,,-,-,0.145,0.05,0,,-,371100,28%,-0.01,,,Active
"=""5323CN""",JPG-CN,Technology,0.05,0.05,0.045,+0.005,0.050,0.050,0.135,0.04,1500,,33,1497090,50%,-0.006,,,Active
"=""5323CO""",JPG-CO,Technology,,,0.045,,-,-,0.085,0.045,0,,-,-,0%,,,,Active
"=""5323CP""",JPG-CP,Technology,,,0.050,,-,-,0.05,0.05,0,,-,-,0%,,,,Active
"=""5323CQ""",JPG-CQ,Technology,0.07,0.065,0.065,-,0.070,0.065,0.075,0.065,1200,,17,-,0%,,,,Active
"=""5323CR""",JPG-CR,Technology,0.08,0.08,0.075,+0.005,0.080,0.080,0.08,0.075,10,,100,-,0%,,,,Active
"=""5673""",JSB,Industrial & Consumer Products,0.3,0.325,0.310,+0.015,0.330,0.295,0.525,0.275,23850,,73,266275,52%,-0.002,-6.77,,Active
"=""5673WB""",JSB-WB,Industrial & Consumer Products,0.07,0.075,0.065,+0.010,0.075,0.070,0.21,0.05,49111,,100,5596730,43%,-0.001,,,Active
"=""0369""",JSSOLAR,Property,0.21,0.21,0.210,-,0.215,0.205,0.425,0.195,2577,,44,462290,14%,-0.017,,,Active
"=""0292""",JTGROUP,Property,0.575,0.585,0.575,+0.010,0.585,0.570,0.77,0.275,1165,,27,636295,31%,-0.028,2.48,25.48,Active
"=""4383""",JTIASA,Industrial & Consumer Products,1.09,1.09,1.090,-,1.100,1.080,1.37,0.995,10622,5.96%,36,3440440,65%,0.009,18.17,6.03,Active
"=""438310""",JTIASA-C10,Technology,,,0.015,,-,-,0.015,0.015,0,,-,-,0%,,,,Active
"=""438311""",JTIASA-C11,Technology,,,0.060,,-,-,0.075,0.055,0,,-,-,0%,,,,Active
"=""438312""",JTIASA-C12,Technology,,,0.075,,-,-,0.08,0.065,0,,-,-,0%,,,,Active
"=""4383C7""",JTIASA-C7,Technology,0.025,0.025,0.030,-0.005,0.025,0.025,0.16,0.025,3000,,-,348030,33%,-0.008,,,Active
"=""4383C8""",JTIASA-C8,Technology,,,0.035,,-,-,0.085,0.035,0,,-,-,0%,,,,Active
"=""4383C9""",JTIASA-C9,Technology,,,0.030,,-,-,0.075,0.03,0,,-,112350,100%,,,,Active
"=""0111""",K1,Property,0.12,0.12,0.125,-0.005,0.125,0.120,0.175,0.105,2610,,19,423435,44%,-0.001,0.02,161.29,Active
"=""0111WD""",K1-WD,Property,0.025,0.025,0.025,-,0.025,0.025,0.06,0.02,1822,,-,86920,100%,-0.001,,,Active
"=""8672""",KAMDAR,Industrial & Consumer Products,,,0.210,,-,-,0.41,0.165,0,,-,9825,38%,-0.002,-4.35,,Active
"=""0170""",KANGER,Property,0.03,0.035,0.030,+0.005,0.035,0.030,0.045,0.025,1082,,-,405015,50%,,-2.47,,Active
"=""0170WB""",KANGER-WB,Property,,,0.005,,-,-,0.01,0.005,0,,-,1005675,100%,,,,Active
"=""5247""",KAREX,Industrial & Consumer Products,0.585,0.6,0.585,+0.015,0.615,0.585,1.09,0.575,7085,1.67%,63,695970,10%,-0.032,0.02,3038.83,Active
"=""524717""",KAREX-C17,Technology,0.01,0.01,0.020,-0.010,0.010,0.010,0.03,0.02,250,,100,-,0%,,,,Active
"=""0054""",KARYON,Industrial & Consumer Products,0.15,0.155,0.150,+0.005,0.155,0.150,0.175,0.12,1636,2.45%,87,113195,50%,,1.87,8.28,Active
"=""7216""",KAWAN,Industrial & Consumer Products,0.965,0.965,0.965,-,0.970,0.960,1.64,0.885,115,7.25%,38,77330,57%,-0.002,8.79,11.08,Active
"=""0392""",KEEMING,Property,0.79,0.87,-,+0.490,0.890,0.785,,,789873,,50,-,0%,,,,New
"=""7199""",KEINHIN,Industrial & Consumer Products,,,1.290,,-,-,1.45,0.995,0,1.94%,-,11455,54%,-0.004,11.14,8.93,Active
"=""7323""",KEN,Industrial & Consumer Products,0.505,0.52,0.505,+0.015,0.520,0.505,0.585,0.4,171,,100,36535,51%,,4.58,12.13,Active
"=""6483""",KENANGA,Industrial & Consumer Products,0.86,0.855,0.860,-0.005,0.865,0.855,1.1,0.83,3858,9.36%,33,499010,53%,0.002,13.18,6.57,Active
"=""0307""",KENERGY,Property,0.505,0.5,0.500,-,0.505,0.500,0.895,0.485,857,2.50%,28,733375,27%,-0.037,4.31,12.21,Active
"=""7161""",KERJAYA,Industrial & Consumer Products,2.64,2.55,2.650,-0.100,2.640,2.550,2.92,1.8,5831,5.88%,34,1179735,45%,-0.009,12.7,20.17,Active
"=""7161C4""",KERJAYA-C4,Technology,0.13,0.135,0.150,-0.015,0.135,0.130,0.245,0.075,670,,15,384305,43%,-0.005,,,Active
"=""7161C5""",KERJAYA-C5,Technology,0.06,0.055,0.075,-0.020,0.060,0.055,0.125,0.065,2000,,100,133750,44%,-0.004,,,Active
"=""7161C6""",KERJAYA-C6,Technology,0.125,0.125,0.135,-0.010,0.125,0.125,0.15,0.135,2250,,44,-,0%,,,,Active
"=""9334""",KESM,Industrial & Consumer Products,2.89,2.85,2.890,-0.040,2.890,2.840,4.04,2.46,148,2.11%,40,31610,37%,-0.042,19.03,,Active
"=""0143""",KEYASIC,Industrial & Consumer Products,0.03,0.03,0.035,-0.005,0.035,0.030,0.05,0.03,9807,,10,732015,50%,,-0.46,,Active
"=""5321""",KEYFIELD,Industrial & Consumer Products,1.48,1.48,1.480,-,1.480,1.460,2.35,1.3,1098,7.43%,28,380455,38%,-0.018,31.79,5.26,Active
"=""5321CF""",KEYFIELD-CF,Technology,0.09,0.09,0.095,-0.005,0.090,0.090,0.19,0.095,200,,-,75550,29%,-0.014,,,Active
"=""6491""",KFIMA,Industrial & Consumer Products,2.58,2.59,2.590,-,2.590,2.580,2.77,2.06,741,7.34%,6,109715,58%,0.015,45.92,4.91,Active
"=""0151""",KGB,Industrial & Consumer Products,4.78,4.78,4.770,+0.010,4.870,4.710,5.88,2.6,28539,1.67%,64,2470930,13%,-0.102,18.24,29.84,Active
"=""0151C1""",KGB-C1,Technology,0.05,0.055,0.065,-0.010,0.060,0.050,0.155,0.065,8083,,78,832620,7%,-0.009,,,Active
"=""0151C2""",KGB-C2,Technology,,,0.005,,-,-,0.05,0.005,0,,-,-,0%,,,,Active
"=""0151C3""",KGB-C3,Technology,,,0.040,,-,-,0.085,0.035,0,,-,68300,30%,-0.003,,,Active
"=""0151C4""",KGB-C4,Technology,0.075,0.08,0.080,-,0.080,0.075,0.13,0.08,340,,53,-,0%,,,,Active
"=""0151CN""",KGB-CN,Technology,,,0.260,,-,-,0.39,0.115,0,,-,190320,56%,0.002,,,Active
"=""0151CQ""",KGB-CQ,Technology,,,0.285,,-,-,0.41,0.14,0,,-,-,0%,,,,Active
"=""0151CR""",KGB-CR,Technology,0.24,0.24,0.245,-0.005,0.260,0.230,0.52,0.21,9648,,56,670150,13%,-0.026,,,Active
"=""0151CS""",KGB-CS,Technology,0.075,0.08,0.085,-0.005,0.080,0.075,0.21,0.085,30,,67,8980,5%,-0.016,,,Active
"=""0151CT""",KGB-CT,Technology,,,0.125,,-,-,0.27,0.1,0,,-,76310,40%,-0.016,,,Active
"=""0151CU""",KGB-CU,Technology,,,0.080,,-,-,0.245,0.08,0,,-,353350,40%,-0.007,,,Active
"=""0151CV""",KGB-CV,Technology,0.01,0.01,0.020,-0.010,0.015,0.010,0.185,0.015,1200,,83,105825,32%,-0.011,,,Active
"=""0151CW""",KGB-CW,Technology,,,0.060,,-,-,0.21,0.055,0,,-,71705,31%,-0.016,,,Active
"=""0151CX""",KGB-CX,Technology,,,0.055,,-,-,0.105,0.05,0,,-,1118355,26%,,,,Active
"=""0151CY""",KGB-CY,Technology,0.08,0.08,0.085,-0.005,0.080,0.080,0.145,0.03,150,,-,976395,45%,-0.002,,,Active
"=""0151CZ""",KGB-CZ,Technology,,,0.055,,-,-,0.075,0.055,0,,-,-,0%,,,,Active
"=""0151WB""",KGB-WB,Industrial & Consumer Products,3.4,3.37,3.400,-0.030,3.460,3.360,4.48,1.2,407,,38,163220,13%,-0.101,,,Active
"=""0036""",KGROUP,Property,0.08,0.08,0.075,+0.005,0.085,0.080,0.33,0.005,2002,,35,48355,43%,-0.002,-0.4,,Active
"=""0282""",KGW,Property,0.135,0.13,0.135,-0.005,0.140,0.130,0.2,0.115,7903,,76,2811420,44%,-0.007,0.56,23.42,Active
"=""0322""",KHB,Property,0.095,0.095,0.100,-0.005,0.095,0.095,0.15,0.095,100,,-,203505,50%,-0.001,0.83,14.44,Active
"=""6203""",KHEESAN,Industrial & Consumer Products,0.135,0.125,0.135,-0.010,0.135,0.125,0.3,0.08,17343,,16,4875510,50%,0.002,1.3,78.55,"Active, Alert"
"=""6203WA""",KHEESAN-WA,Industrial & Consumer Products,0.07,0.06,0.070,-0.010,0.070,0.060,0.09,0.025,19174,,35,2551260,45%,0.006,,,"Active, Alert"
"=""7062""",KHIND,Industrial & Consumer Products,,,1.520,,-,-,2.39,1.3,0,6.58%,-,7775,62%,-0.024,3.52,47.54,Active
"=""0210""",KHJB,Property,,,0.120,,-,-,0.16,0.11,0,,-,26270,53%,-0.001,-0.8,,Active
"=""6211""",KIALIM,Industrial & Consumer Products,,,0.370,,-,-,0.56,0.32,0,,-,25190,45%,-0.01,9.2,4.02,Active
"=""5371""",KIMHIN,Industrial & Consumer Products,,,0.880,,-,-,0.885,0.37,0,,-,56790,55%,0.018,-22.93,,Active
"=""5171""",KIMLUN,Industrial & Consumer Products,1.26,1.29,1.270,+0.020,1.300,1.250,1.52,0.805,4123,1.55%,54,139555,36%,-0.014,14.24,10.06,Active
"=""0193""",KINERGY,Industrial & Consumer Products,0.4,0.4,0.400,-,0.405,0.390,0.42,0.305,64936,,70,7232640,63%,0.003,1.08,39.8,Active
"=""5280""",KIPREIT,Industrial & Consumer Products,0.925,0.93,0.925,+0.005,0.940,0.925,0.96,0.82,30943,7.31%,58,2089845,44%,0.008,15.94,7.74,Active
"=""5310""",KITACON,Industrial & Consumer Products,0.7,0.72,0.700,+0.020,0.720,0.690,0.795,0.665,30,4.17%,93,65950,33%,-0.003,10.38,6.94,Active
"=""0293""",KJTS,Property,0.805,0.79,0.800,-0.010,0.805,0.770,1.81,0.67,20229,0.66%,23,3203095,18%,-0.162,1.23,64.53,Active
"=""9466""",KKB,Industrial & Consumer Products,1.23,1.23,1.230,-,1.230,1.230,1.48,1.05,2,6.10%,100,49290,59%,0.015,9.07,8.78,Active
"=""5235SS""",KLCC,Industrial & Consumer Products,9.42,9.35,9.420,-0.070,9.420,9.290,9.57,8.0,13895,5.03%,85,384470,61%,0.097,70.92,13.16,Active
"=""0835EA""",KLCI1XI,Transportation & Logistics,,,1.605,,-,-,2.0,1.605,0,,-,2360,25%,-0.045,,,Active
"=""0834EA""",KLCI2XL,Transportation & Logistics,,,2.340,,-,-,2.34,1.92,0,,-,12430,64%,0.036,,,Active
"=""2445""",KLK,Industrial & Consumer Products,19.78,19.8,19.820,-0.020,19.820,19.600,21.7,18.34,2241,3.03%,43,664325,46%,-0.074,73.9,22.7,Active
"=""244539""",KLK-C39,Technology,0.055,0.055,0.055,-,0.055,0.055,0.215,0.05,60,,50,37880,36%,-0.01,,,Active
"=""244540""",KLK-C40,Technology,,,0.005,,-,-,0.08,0.005,0,,-,131730,33%,-0.01,,,Active
"=""244541""",KLK-C41,Technology,,,0.045,,-,-,0.145,0.045,0,,-,120800,24%,,,,Active
"=""244542""",KLK-C42,Technology,,,0.040,,-,-,0.06,0.035,0,,-,-,0%,,,,Active
"=""244543""",KLK-C43,Technology,0.06,0.06,0.150,-0.090,0.060,0.060,,,500,,-,-,0%,,,,Active
"=""2453""",KLUANG,Industrial & Consumer Products,5.9,5.9,5.980,-0.080,5.900,5.900,6.14,4.8,10,,-,22960,73%,0.087,38.28,8.25,Active
"=""5027""",KMLOONG,Industrial & Consumer Products,2.38,2.38,2.370,+0.010,2.380,2.370,2.45,2.12,423,6.30%,53,109650,50%,-0.004,16.59,12.01,Active
"=""5035""",KNUSFOR,Industrial & Consumer Products,,,0.415,,-,-,0.745,0.38,0,,-,13400,44%,-0.018,10.56,3.93,Active
"=""6971""",KOBAY,Industrial & Consumer Products,1.67,1.67,1.670,-,1.670,1.640,1.91,1.02,1848,,49,1791195,47%,-0.017,-5.05,,Active
"=""7017""",KOMARK,Industrial & Consumer Products,,,0.050,,-,-,0.095,0.04,0,,-,86935,46%,,-10.54,,Active
"=""7017WD""",KOMARK-WD,Industrial & Consumer Products,,,0.005,,-,-,0.02,0.005,0,,-,14565,17%,-0.006,,,Active
"=""0338""",KOPI,Property,1.38,1.36,1.370,-0.010,1.390,1.360,1.61,0.625,19703,0.01%,29,4298810,29%,-0.004,3.25,44.77,Active
"=""7153""",KOSSAN,Industrial & Consumer Products,1.0,0.995,1.000,-0.005,1.000,0.985,2.47,0.935,26803,8.04%,53,5584865,48%,-0.027,4.7,20.79,Active
"=""715383""",KOSSAN-C83,Technology,,,0.005,,-,-,0.055,0.005,0,,-,736750,100%,,,,Active
"=""715384""",KOSSAN-C84,Technology,,,0.010,,-,-,0.11,0.01,0,,-,61835,17%,-0.012,,,Active
"=""715385""",KOSSAN-C85,Technology,,,0.045,,-,-,0.09,0.045,0,,-,6500,33%,,,,Active
"=""715386""",KOSSAN-C86,Technology,,,0.015,,-,-,0.105,0.005,0,,-,659960,40%,-0.005,,,Active
"=""715387""",KOSSAN-C87,Technology,,,0.005,,-,-,0.125,0.005,0,,-,376000,14%,-0.011,,,Active
"=""715388""",KOSSAN-C88,Technology,,,0.040,,-,-,0.055,0.04,0,,-,-,0%,,,,Active
"=""715389""",KOSSAN-C89,Technology,,,0.030,,-,-,0.045,0.025,0,,-,-,0%,,,,Active
"=""715390""",KOSSAN-C90,Technology,0.005,0.005,0.005,-,0.005,0.005,0.045,0.005,950,,-,-,0%,,,,Active
"=""0002""",KOTRA,Industrial & Consumer Products,4.09,4.25,4.060,+0.190,4.250,4.090,4.58,3.85,107,6.00%,35,11630,24%,-0.025,28.64,14.84,Active
"=""5878""",KPJ,Industrial & Consumer Products,2.78,2.78,2.780,-,2.800,2.760,3.05,2.34,67395,1.49%,73,6704960,54%,0.017,8.11,30.9,Active
"=""587824""",KPJ-C24,Technology,,,0.025,,-,-,0.09,0.025,0,,-,979800,44%,,,,Active
"=""587825""",KPJ-C25,Technology,,,0.015,,-,-,0.07,0.015,0,,-,-,0%,,,,Active
"=""587826""",KPJ-C26,Technology,0.07,0.07,0.075,-0.005,0.070,0.070,0.18,0.06,5887,,15,1309530,47%,-0.002,,,Active
"=""587827""",KPJ-C27,Technology,,,0.075,,-,-,0.175,0.06,0,,-,1100500,44%,-0.001,,,Active
"=""587828""",KPJ-C28,Technology,,,0.005,,-,-,0.065,0.005,0,,-,212040,24%,-0.002,,,Active
"=""587829""",KPJ-C29,Technology,0.04,0.04,0.040,-,0.040,0.040,0.105,0.04,100,,-,96400,33%,-0.003,,,Active
"=""587830""",KPJ-C30,Technology,,,0.095,,-,-,0.17,0.07,0,,-,-,32%,,,,Active
"=""587831""",KPJ-C31,Technology,,,0.040,,-,-,0.04,0.035,0,,-,-,0%,,,,Active
"=""587832""",KPJ-C32,Technology,0.085,0.085,0.085,-,0.085,0.085,0.095,0.075,1425,,30,-,0%,,,,Active
"=""587833""",KPJ-C33,Technology,0.075,0.075,0.150,-0.075,0.075,0.075,,,500,,-,-,0%,,,,Active
"=""7077""",KPPROP,Industrial & Consumer Products,0.325,0.325,0.320,+0.005,0.325,0.325,0.625,0.285,251,3.08%,49,197400,47%,,1.35,38.16,Active
"=""7077LA""",KPPROP-LA,Telecommunications & Media,,,0.320,,-,-,0.39,0.28,0,,-,64995,58%,-0.002,,,Active
"=""5843""",KPS,Industrial & Consumer Products,0.6,0.605,0.605,-,0.605,0.600,0.705,0.59,253,10.74%,76,100970,45%,-0.003,13.7,4.3,Active
"=""9121""",KPSCB,Industrial & Consumer Products,0.82,0.825,0.830,-0.005,0.830,0.820,0.835,0.4,890,,100,74075,69%,0.03,10.29,8.02,Active
"=""1996""",KRETAM,Industrial & Consumer Products,0.675,0.675,0.690,-0.015,0.675,0.675,0.71,0.48,50,1.48%,100,79270,52%,,7.59,8.98,Active
"=""0176""",KRONO,Property,0.12,0.115,0.115,-,0.120,0.115,0.285,0.115,1616,,100,1472490,23%,-0.014,1.55,8.93,Active
"=""0176WA""",KRONO-WA,Property,0.02,0.02,0.020,-,0.020,0.020,0.08,0.02,2620,,43,56570,43%,-0.002,,,Active
"=""3476""",KSENG,Industrial & Consumer Products,5.54,5.56,5.550,+0.010,5.560,5.510,5.99,5.1,201,0.90%,71,38215,50%,-0.009,39.88,13.23,Active
"=""5038""",KSL,Industrial & Consumer Products,3.28,3.43,3.280,+0.150,3.470,3.160,3.46,1.25,31366,,68,914505,63%,0.007,46.24,7.98,Active
"=""5038CN""",KSL-CN,Technology,,,-,,-,-,0.91,0.09,0,,-,66430,52%,0.016,,,Delisted
"=""5038CO""",KSL-CO,Technology,0.795,0.875,0.795,+0.080,0.875,0.785,0.93,0.11,4559,,60,126700,51%,0.016,,,Active
"=""5038CP""",KSL-CP,Technology,0.545,0.63,0.575,+0.055,0.630,0.535,0.66,0.345,2309,,84,128635,58%,0.001,,,Active
"=""5038CQ""",KSL-CQ,Technology,0.1,0.12,0.100,+0.020,0.120,0.100,0.125,0.075,4191,,51,279470,56%,-0.003,,,Active
"=""5038CR""",KSL-CR,Technology,0.05,0.065,0.050,+0.015,0.065,0.050,0.08,0.035,700,,86,70150,50%,-0.003,,,Active
"=""5038CS""",KSL-CS,Technology,0.045,0.06,0.050,+0.010,0.060,0.045,0.07,0.03,17110,,81,717215,50%,-0.002,,,Active
"=""5038CT""",KSL-CT,Technology,0.07,0.085,0.075,+0.010,0.085,0.070,0.09,0.06,10120,,21,440150,50%,,,,Active
"=""5038CU""",KSL-CU,Technology,0.185,0.23,0.200,+0.030,0.235,0.180,0.205,0.16,15732,,54,-,0%,,,,Active
"=""5192""",KSSC,Industrial & Consumer Products,0.95,0.95,0.970,-0.020,0.960,0.950,1.03,0.64,475,,22,389545,46%,0.052,4.75,23.91,Active
"=""5192WA""",KSSC-WA,Industrial & Consumer Products,,,0.470,,-,-,0.5,0.155,0,,-,183860,75%,0.052,,,Active
"=""0180""",KTC,Industrial & Consumer Products,0.155,0.16,0.160,-,0.160,0.155,0.2,0.12,1500,,20,190670,60%,,2.76,5.72,Active
"=""0308""",KTI,Property,0.395,0.39,0.395,-0.005,0.395,0.390,0.44,0.345,730,0.77%,-,1170025,67%,-0.002,1.29,36.58,Active
"=""058719""",KUAISHO-C19,Technology,,,0.045,,-,-,0.26,0.045,0,,-,3525590,46%,-0.002,,,Active
"=""058720""",KUAISHO-C20,Technology,,,0.040,,-,-,0.225,0.015,0,,-,3100070,58%,-0.008,,,Active
"=""0587H7""",KUAISHO-H7,Technology,,,0.025,,-,-,0.125,0.025,0,,-,5425495,26%,-0.009,,,Active
"=""0315""",KUCINGKO,Property,0.1,0.105,0.105,-,0.105,0.100,0.255,0.085,180,8.10%,6,393305,50%,0.001,1.01,10.41,Active
"=""8362""",KYM,Industrial & Consumer Products,0.325,0.28,0.315,-0.035,0.330,0.270,0.35,0.23,45182,,70,139960,68%,0.009,1.25,22.34,Active
"=""3174""",L&G,Industrial & Consumer Products,0.145,0.145,0.140,+0.005,0.145,0.140,0.19,0.09,38488,5.52%,36,7171170,56%,,1.22,12.18,Active
"=""0268""",L&PBHD,Industrial & Consumer Products,0.1,0.095,0.095,-,0.100,0.095,0.24,0.08,1341,5.26%,-,193620,40%,-0.001,1.98,4.8,Active
"=""5341""",LACMED,Industrial & Consumer Products,0.995,0.99,0.995,-0.005,1.030,0.965,1.34,0.75,11429,,41,1838475,37%,0.014,,,Active
"=""7179""",LAGENDA,Industrial & Consumer Products,1.41,1.41,1.410,-,1.430,1.390,1.56,1.09,11984,4.61%,26,1754350,57%,0.023,22.05,6.4,Active
"=""0018""",LAMBO,Property,,,0.005,,-,-,0.005,0.005,0,,-,5769605,25%,-0.004,0.65,0.77,"Suspended, Alert"
"=""1643""",LANDMRK,Industrial & Consumer Products,0.095,0.095,0.100,-0.005,0.100,0.095,0.17,0.095,422,,70,108800,40%,-0.003,-4.26,,Active
"=""9385""",LAYHONG,Industrial & Consumer Products,0.3,0.3,0.305,-0.005,0.300,0.295,0.36,0.285,4537,,71,1774405,50%,,12.11,2.49,Active
"=""9326""",LBALUM,Industrial & Consumer Products,0.51,0.5,0.510,-0.010,0.510,0.500,0.545,0.42,8706,5.00%,40,1372990,61%,0.005,8.35,3.66,Active
"=""8494""",LBICAP,Industrial & Consumer Products,,,0.345,,-,-,0.5,0.34,0,7.25%,-,21895,51%,-0.011,3.6,12.03,Active
"=""5789""",LBS,Industrial & Consumer Products,0.405,0.405,0.410,-0.005,0.410,0.400,0.55,0.37,19584,,49,2308280,57%,,14.31,2.43,Active
"=""5789PA""",LBS-PA,Industrial & Consumer Products,,,0.840,,-,-,1.0,0.84,0,,-,61455,33%,-0.004,,,Active
"=""5284""",LCTITAN,Industrial & Consumer Products,0.385,0.39,0.380,+0.010,0.390,0.385,0.755,0.35,4119,,68,1284815,40%,-0.008,-51.96,,Active
"=""5284C1""",LCTITAN-C1,Technology,,,0.025,,-,-,0.08,0.02,0,,-,-,0%,,,,Active
"=""5284C2""",LCTITAN-C2,Technology,0.02,0.02,0.020,-,0.020,0.020,0.03,0.02,200,,100,-,0%,,,,Active
"=""5284C3""",LCTITAN-C3,Technology,0.05,0.05,0.150,-0.100,0.050,0.050,,,500,,-,-,0%,,,,Active
"=""5284CY""",LCTITAN-CY,Technology,,,0.010,,-,-,0.065,0.005,0,,-,662335,25%,-0.011,,,Active
"=""5284CZ""",LCTITAN-CZ,Technology,,,0.020,,-,-,0.08,0.02,0,,-,-,0%,,,,Active
"=""9628""",LEBTECH,Industrial & Consumer Products,,,0.905,,-,-,0.905,0.51,0,,-,21145,73%,0.037,0.02,5146.57,Active
"=""8079""",LEESK,Industrial & Consumer Products,0.355,0.36,0.360,-,0.360,0.350,0.545,0.345,181,6.53%,11,51545,35%,-0.019,3.76,9.59,Active
"=""0266""",LEFORM,Property,0.175,0.175,0.175,-,0.175,0.170,0.18,0.11,3101,,-,605020,50%,,0.16,181.5,Active
"=""5232""",LEONFB,Industrial & Consumer Products,0.365,0.365,0.360,+0.005,0.365,0.365,0.455,0.34,80,,100,32820,44%,-0.003,2.21,16.61,Active
"=""7170""",LFECORP,Industrial & Consumer Products,,,0.170,,-,-,0.235,0.16,0,,-,83615,43%,-0.002,2.29,7.8,Active
"=""5255""",LFG,Industrial & Consumer Products,1.93,1.96,1.930,+0.030,1.960,1.910,2.25,0.7,3807,,78,1383685,18%,-0.037,7.55,84.41,Active
"=""5255WA""",LFG-WA,Industrial & Consumer Products,1.03,1.04,1.020,+0.020,1.040,1.020,1.34,0.195,1215,,39,88625,17%,-0.037,,,Active
"=""5255WB""",LFG-WB,Industrial & Consumer Products,0.33,0.5,0.305,+0.195,0.590,0.330,0.305,0.305,4048,,55,-,0%,,,,Active
"=""0249""",LGMS,Industrial & Consumer Products,0.515,0.52,0.515,+0.005,0.530,0.515,1.14,0.46,21886,2.88%,60,964080,54%,-0.008,2.71,19.22,Active
"=""6633""",LHI,Industrial & Consumer Products,0.75,0.785,0.765,+0.020,0.800,0.745,0.835,0.56,67855,3.50%,51,4024280,45%,0.012,11.75,4.55,Active
"=""663332""",LHI-C32,Technology,0.11,0.145,0.120,+0.025,0.145,0.110,0.18,0.055,3680,,30,190925,47%,0.009,,,Active
"=""663333""",LHI-C33,Technology,0.08,0.11,0.090,+0.020,0.110,0.080,0.13,0.06,9032,,61,295275,44%,0.005,,,Active
"=""663334""",LHI-C34,Technology,0.07,0.09,0.080,+0.010,0.090,0.070,0.105,0.08,12302,,66,-,0%,,,,Active
