Code,Stock,Sector,Open,Last,Prv Close,Chg,High,Low,Y-High,Y-Low,Vol,DY*,B%,Vol MA (20),RSI (14),"MACD (26,12)",EPS*,P/E,Status
"=""0652MW""",HSI-CWMW,Technology,0.315,0.29,0.335,-0.045,0.320,0.280,0.645,0.22,328504,,42,6858560,25%,,,,Active
"=""0652MX""",HSI-CWMX,Technology,0.185,0.175,0.220,-0.045,0.185,0.175,0.42,0.145,400,,25,1445940,46%,-0.026,,,Active
"=""0652MY""",HSI-CWMY,Technology,0.08,0.07,0.085,-0.015,0.080,0.070,0.275,0.06,2,,-,5432590,42%,-0.026,,,Active
"=""0652MZ""",HSI-CWMZ,Technology,,,0.040,,-,-,0.05,0.04,0,,-,-,0%,,,,Active
"=""0652OA""",HSI-CWOA,Technology,0.29,0.265,0.305,-0.040,0.290,0.265,0.49,0.22,800,,50,662580,45%,-0.018,,,Active
"=""0652OB""",HSI-CWOB,Technology,0.13,0.115,0.135,-0.020,0.130,0.115,0.265,0.095,39619,,44,9268595,42%,-0.026,,,Active
"=""0652OC""",HSI-CWOC,Technology,,,0.065,,-,-,0.13,0.05,0,,-,-,38%,,,,Active
"=""0652OD""",HSI-CWOD,Technology,,,0.135,,-,-,0.215,0.1,0,,-,-,0%,,,,Active
"=""0652OE""",HSI-CWOE,Technology,0.23,0.215,0.245,-0.030,0.230,0.215,0.36,0.18,3300,,18,1656440,46%,-0.007,,,Active
"=""0652OF""",HSI-CWOF,Technology,0.435,0.4,0.445,-0.045,0.435,0.400,0.58,0.34,12200,,42,1236585,47%,0.006,,,Active
"=""0652OG""",HSI-CWOG,Technology,,,0.060,,-,-,0.1,0.045,0,,-,-,0%,,,,Active
"=""0652OH""",HSI-CWOH,Technology,0.115,0.105,0.125,-0.020,0.115,0.105,0.255,0.09,1880,,-,3626660,44%,,,,Active
"=""0652OI""",HSI-CWOI,Technology,0.255,0.23,0.265,-0.035,0.255,0.220,0.46,0.18,56193,,35,7119155,48%,-0.019,,,Active
"=""0652OJ""",HSI-CWOJ,Technology,0.55,0.495,0.570,-0.075,0.555,0.495,0.825,0.405,13794,,50,1625265,51%,0.01,,,Active
"=""0652OK""",HSI-CWOK,Technology,0.725,0.725,0.775,-0.050,0.725,0.725,0.995,0.62,46,,100,-,0%,,,,Active
"=""0652OL""",HSI-CWOL,Technology,0.45,0.425,0.465,-0.040,0.450,0.425,0.66,0.36,550,,55,-,50%,,,,Active
"=""0652OM""",HSI-CWOM,Technology,0.235,0.235,0.265,-0.030,0.235,0.235,0.405,0.2,12678,,11,-,48%,,,,Active
"=""0652ON""",HSI-CWON,Technology,0.175,0.165,0.190,-0.025,0.175,0.165,0.265,0.15,240,,-,-,0%,,,,Active
"=""0652OO""",HSI-CWOO,Technology,,,0.240,,-,-,0.355,0.195,0,,-,-,0%,,,,Active
"=""0652OP""",HSI-CWOP,Technology,0.285,0.285,0.310,-0.025,0.285,0.285,0.445,0.26,50,,-,-,0%,,,,Active
"=""0652OQ""",HSI-CWOQ,Technology,0.395,0.385,0.435,-0.050,0.395,0.385,0.605,0.32,20000,,40,-,0%,,,,Active
"=""0652OR""",HSI-CWOR,Technology,0.565,0.545,0.575,-0.030,0.565,0.545,0.73,0.45,240,,83,-,0%,,,,Active
"=""0652OS""",HSI-CWOS,Technology,0.49,0.49,0.610,-0.120,0.490,0.490,0.805,0.48,700,,57,-,0%,,,,Active
"=""0652OT""",HSI-CWOT,Technology,,,0.350,,-,-,0.52,0.275,0,,-,-,0%,,,,Active
"=""0652OU""",HSI-CWOU,Technology,0.17,0.17,0.210,-0.040,0.170,0.170,0.31,0.16,200,,-,-,0%,,,,Active
"=""0652OV""",HSI-CWOV,Technology,,,1.540,,-,-,,,0,,-,-,0%,,,,Active
"=""0652OW""",HSI-CWOW,Technology,,,0.145,,-,-,0.18,0.115,0,,-,-,0%,,,,Active
"=""0652J5""",HSI-PWJ5,Technology,,,0.005,,-,-,0.12,0.005,0,,-,76600,32%,-0.021,,,Active
"=""0652JX""",HSI-PWJX,Technology,,,0.005,,-,-,0.16,0.005,0,,-,36180,29%,-0.018,,,Active
"=""0652L3""",HSI-PWL3,Technology,,,0.100,,-,-,0.29,0.075,0,,-,93925,32%,,,,Active
"=""0652L9""",HSI-PWL9,Technology,,,0.845,,-,-,1.78,0.685,0,,-,126555,32%,-0.133,,,Active
"=""0652LD""",HSI-PWLD,Technology,0.025,0.03,0.025,+0.005,0.030,0.025,0.16,0.02,6216,,48,68650,36%,-0.021,,,Active
"=""0652LY""",HSI-PWLY,Technology,0.07,0.07,0.065,+0.005,0.070,0.070,0.265,0.05,2000,,100,205450,39%,-0.019,,,Active
"=""0652N1""",HSI-PWN1,Technology,0.15,0.15,0.135,+0.015,0.150,0.145,0.665,0.13,2190,,35,7462080,29%,-0.069,,,Active
"=""0652N2""",HSI-PWN2,Technology,0.01,0.05,0.050,-,0.050,0.010,0.195,0.02,56,,13,-,0%,,,,Active
"=""0652N3""",HSI-PWN3,Technology,0.03,0.03,0.030,-,0.030,0.030,0.41,0.03,27006,,81,1122310,28%,-0.049,,,Active
"=""0652N4""",HSI-PWN4,Technology,0.095,0.11,0.100,+0.010,0.110,0.090,0.8,0.085,128236,,64,31856680,24%,-0.096,,,Active
"=""0652N5""",HSI-PWN5,Technology,0.485,0.48,0.565,-0.085,0.485,0.480,1.33,0.565,600,,50,-,0%,,,,Active
"=""0652N6""",HSI-PWN6,Technology,0.165,0.165,0.155,+0.010,0.165,0.165,0.23,0.12,2,,-,-,38%,,,,Active
"=""0652N7""",HSI-PWN7,Technology,0.135,0.145,0.140,+0.005,0.145,0.135,0.595,0.13,18059,,33,1266590,29%,-0.069,,,Active
"=""0652N8""",HSI-PWN8,Technology,,,0.065,,-,-,0.225,0.035,0,,-,-,22%,,,,Active
"=""0652N9""",HSI-PWN9,Technology,,,0.010,,-,-,0.075,0.01,0,,-,-,0%,,,,Active
"=""0652NA""",HSI-PWNA,Technology,0.22,0.26,0.215,+0.045,0.260,0.215,1.08,0.19,8040,,73,517605,32%,-0.094,,,Active
"=""0652NB""",HSI-PWNB,Technology,0.025,0.025,0.090,-0.065,0.025,0.025,0.575,0.06,194,,100,35500,28%,-0.08,,,Active
"=""0652NC""",HSI-PWNC,Technology,0.69,0.7,0.640,+0.060,0.700,0.690,1.44,0.52,98,,59,407870,37%,-0.09,,,Active
"=""0652ND""",HSI-PWND,Technology,0.24,0.265,0.235,+0.030,0.265,0.240,0.86,0.2,1170,,63,177285,34%,-0.073,,,Active
"=""0652NE""",HSI-PWNE,Technology,,,0.080,,-,-,0.46,0.06,0,,-,102360,22%,,,,Active
"=""0652NF""",HSI-PWNF,Technology,0.545,0.56,0.510,+0.050,0.560,0.545,1.22,0.5,300,,100,211080,27%,-0.065,,,Active
"=""0652NG""",HSI-PWNG,Technology,0.23,0.235,0.215,+0.020,0.235,0.225,0.725,0.175,4500,,89,413960,35%,-0.06,,,Active
"=""0652NH""",HSI-PWNH,Technology,,,0.085,,-,-,0.395,0.075,0,,-,41800,27%,,,,Active
"=""0652NI""",HSI-PWNI,Technology,,,0.320,,-,-,,,0,,-,-,0%,,,,Active
"=""0652NJ""",HSI-PWNJ,Technology,,,0.025,,-,-,0.4,0.015,0,,-,9019660,24%,-0.055,,,Active
"=""0652NK""",HSI-PWNK,Technology,,,0.005,,-,-,0.185,0.005,0,,-,-,27%,,,,Active
"=""0652NL""",HSI-PWNL,Technology,,,0.050,,-,-,0.18,0.04,0,,-,79550,39%,-0.014,,,Active
"=""0652NQ""",HSI-PWNQ,Technology,0.08,0.085,0.075,+0.010,0.085,0.080,0.2,0.055,1100,,77,-,37%,,,,Active
"=""0652NR""",HSI-PWNR,Technology,,,0.005,,-,-,0.01,0.005,0,,-,-,0%,,,,Active
"=""0652NS""",HSI-PWNS,Technology,,,0.005,,-,-,0.13,0.005,0,,-,6543970,27%,,,,Active
"=""0652NT""",HSI-PWNT,Technology,0.02,0.02,0.020,-,0.020,0.020,0.555,0.02,150,,100,26019350,22%,-0.09,,,Active
"=""0652NU""",HSI-PWNU,Technology,0.19,0.205,0.185,+0.020,0.205,0.190,0.88,0.175,5638,,58,5254830,17%,,,,Active
"=""0652NV""",HSI-PWNV,Technology,0.085,0.07,0.080,-0.010,0.085,0.070,0.47,0.07,555285,,48,16768275,25%,-0.093,,,Active
"=""0652NW""",HSI-PWNW,Technology,,,0.045,,-,-,0.25,0.045,0,,-,788170,12%,-0.05,,,Active
"=""0652NX""",HSI-PWNX,Technology,0.005,0.005,0.015,-0.010,0.005,0.005,0.11,0.015,48,,-,-,19%,,,,Active
"=""0652NY""",HSI-PWNY,Technology,,,0.025,,-,-,0.185,0.025,0,,-,962545,22%,-0.032,,,Active
