Code,Stock,Prv Close,High,Low,Last,Vol,Status,P/E,EPS*,"MACD (26, 12)",Vol MA (20),DY*,Y-Low,Y-High,RSI (14),Open,Sector,Chg,B%,code_clean,name_clean,price_num,volume_num,instrument_type,sector_raw,sector_name,daily_change
"=""2062""",HARBOUR,1.450,1.450,1.440,1.45,790,Active,4.25,29.15,-0.008,93335,4.14%,1.18,1.65,43%,1.45,164,-,42,2062,HARBOUR,1.45,93335.0,Stock,164,Industrial & Consumer Products,0.0
"=""5008""",HARISON,1.250,1.350,1.250,1.35,76,Active,10.52,12.58,0.004,37670,,1.13,1.54,45%,1.25,101,+0.100,34,5008,HARISON,1.35,37670.0,Stock,101,Industrial & Consumer Products,0.0
"=""7501""",HARNLEN,0.700,0.710,0.650,0.695,1181,Active,13.54,5.75,0.024,113300,6.47%,0.355,0.8,65%,0.65,125,-0.005,69,7501,HARNLEN,0.695,113300.0,Stock,125,Industrial & Consumer Products,0.0
"=""5168""",HARTA,0.900,0.900,0.885,0.89,71737,Active,41.0,2.18,-0.022,10593025,13.21%,0.845,3.59,47%,0.9,162,-0.010,56,5168,HARTA,0.89,10593025.0,Stock,162,Industrial & Consumer Products,0.0
"=""51683G""",HARTA-C3G,0.060,0.060,0.060,0.06,99,Active,,,-0.011,396150,,0.055,0.115,27%,0.06,362,-,-,51683G,HARTA-C3G,0.06,396150.0,Stock,362,Technology,0.0
"=""0320""",HAWK,0.275,0.275,0.270,0.275,8633,Active,10.66,2.58,,863520,,0.23,0.585,71%,0.275,461,-,64,0320,HAWK,0.275,863520.0,Stock,461,Property,0.0
"=""5187""",HBGLOB,0.040,0.040,0.035,0.035,12083,Active,,-0.28,,678060,,0.03,0.1,43%,0.035,101,-0.005,-,5187,HBGLOB,0.035,678060.0,Stock,101,Industrial & Consumer Products,0.0
"=""7105""",HCK,2.150,2.160,2.140,2.15,4731,Active,65.2,3.97,-0.005,423810,,2.06,2.23,42%,2.15,120,-,99,7105,HCK,2.15,423810.0,Stock,120,Industrial & Consumer Products,0.0
"=""0296""",HEGROUP,0.350,0.340,0.330,0.34,1424,Active,10.93,3.11,-0.004,962065,,0.2,0.46,45%,0.335,102,-0.010,1,0296,HEGROUP,0.34,962065.0,Stock,102,Industrial & Consumer Products,0.0
"=""3255""",HEIM,24.400,24.680,24.180,24.6,1445,Active,16.18,152.05,0.325,183565,6.18%,19.8,28.68,68%,24.4,101,+0.200,51,3255,HEIM,24.6,183565.0,Stock,101,Industrial & Consumer Products,0.0
"=""5121""",HEKTAR,0.450,0.450,0.445,0.45,6420,Active,12.97,3.6,0.002,642215,7.00%,0.415,0.53,63%,0.45,150,-,40,5121,HEKTAR,0.45,642215.0,Stock,150,Industrial & Consumer Products,0.0
"=""4324""",HENGYUAN,0.910,0.905,0.890,0.9,10257,Active,,-119.19,0.02,2208555,,0.72,2.05,69%,0.9,161,-0.010,40,4324,HENGYUAN,0.9,2208555.0,Stock,161,Industrial & Consumer Products,0.0
"=""4324WA""",HENGYUAN-WA,0.310,0.315,0.305,0.315,4574,Active,,,0.021,1912350,,0.175,0.325,68%,0.305,161,+0.005,47,4324WA,HENGYUAN-WA,0.315,1912350.0,Warrant,161,Industrial & Consumer Products,0.0
"=""5095""",HEVEA,0.135,0.135,0.125,0.125,3023,Active,,-0.89,-0.008,217080,,0.12,0.25,31%,0.135,102,-0.010,96,5095,HEVEA,0.125,217080.0,Stock,102,Industrial & Consumer Products,0.0
"=""0035""",HEXCAP,0.235,0.235,0.230,0.235,3687,Active,42.93,0.7,0.005,753810,,0.175,0.345,71%,0.235,463,-,34,0035,HEXCAP,0.235,753810.0,Stock,463,Property,0.0
"=""7803""",HEXCARE,0.080,0.080,0.075,0.08,912,Active,,-1.33,-0.002,272930,,0.075,0.18,50%,0.075,162,-,45,7803,HEXCARE,0.08,272930.0,Stock,162,Industrial & Consumer Products,0.0
"=""0161""",HEXIND,0.325,0.325,0.320,0.325,2798,Active,31.44,1.01,-0.004,448290,,0.3,0.46,46%,0.325,102,-,55,0161,HEXIND,0.325,448290.0,Stock,102,Industrial & Consumer Products,0.0
"=""7202WA""",HEXRTL-WA,0.055,0.055,0.055,0.055,4730,Active,,,,138180,,0.02,0.175,67%,0.055,101,-,-,7202WA,HEXRTL-WA,0.055,138180.0,Warrant,101,Industrial & Consumer Products,0.0
"=""5151""",HEXTAR,0.810,0.830,0.800,0.81,33429,Active,44.5,1.53,-0.022,4859040,1.60%,0.78,0.985,13%,0.81,102,-,92,5151,HEXTAR,0.81,4859040.0,Stock,102,Industrial & Consumer Products,0.0
"=""5136""",HEXTECH,1.140,1.170,1.100,1.17,23098,Active,,-1.1,-0.002,49380,,1.0,1.32,50%,1.1,164,+0.030,99,5136,HEXTECH,1.17,49380.0,Stock,164,Industrial & Consumer Products,0.0
"=""3298""",HEXZA,0.920,0.910,0.890,0.89,810,Active,326.18,0.23,0.015,175635,5.62%,0.79,0.98,94%,0.91,102,-0.030,28,3298,HEXZA,0.89,175635.0,Stock,102,Industrial & Consumer Products,0.0
"=""0160""",HHHCORP,0.130,0.130,0.130,0.13,1,Active,13.58,1.02,,116700,,0.11,0.14,42%,0.13,402,-,100,0160,HHHCORP,0.13,116700.0,Stock,402,Property,0.0
"=""0175""",HHRG,0.060,0.065,0.055,0.06,58929,Active,8.69,0.81,-0.001,5687645,,0.05,0.145,36%,0.06,402,-,59,0175,HHRG,0.06,5687645.0,Stock,402,Property,0.0
"=""0175WB""",HHRG-WB,0.015,0.015,0.015,0.015,1411,Active,,,,-,,0.01,0.025,100%,0.015,402,-,-,0175WB,HHRG-WB,0.015,,Warrant,402,Property,0.0
